Time,Nivel
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0150751,150.0
36:40.0602390,150.0
36:40.0984209,150.0
36:41.0405908,150.0
36:41.0818878,150.0
36:42.0257512,150.0
36:42.0648747,150.0
36:43.0071979,150.0
36:43.0474236,150.0
36:43.0924290,150.0
36:44.0325139,150.0
36:44.0779265,150.0
36:45.0200195,150.0
36:45.0654671,150.0
36:46.0052273,150.0
36:46.0509797,150.0
36:46.0910807,150.0
36:47.0369390,150.0
36:47.0789991,150.0
36:48.0210459,150.0
36:48.0631444,150.0
36:49.0094150,150.0
36:49.0494955,150.0
36:49.0964439,150.0
36:50.0384505,149.85
36:50.0858473,148.75
36:51.0258078,147.8
36:51.0735469,146.75
36:52.0136462,145.8
36:52.0610068,144.75
36:53.0030974,143.85
36:53.0509970,142.8
36:53.0910601,141.9
36:54.0397733,140.9
36:54.0820857,140.0
36:55.0312446,138.85
36:55.0712302,138.0
36:56.0214066,137.0
36:56.0636143,136.0
36:57.0128404,135.05
36:57.0528030,134.15
36:58.0023673,133.1
36:58.0445820,132.25
36:58.0934723,131.3
36:59.0337116,130.45
36:59.0856426,129.4
37:00.0249498,128.6
37:00.0771118,127.55
37:01.0191439,126.75
37:01.0711286,125.75
37:02.0112425,124.95
37:02.0671312,123.95
37:03.0071847,123.15
37:03.0630832,122.1
37:04.0048796,121.3
37:04.0605932,120.35
37:05.0026539,119.75
37:05.0585742,119.1
37:06.0006411,118.85
37:06.0560894,118.65
37:06.0982669,118.65
37:07.0488434,118.8
37:07.0887714,119.0
37:08.0429101,119.3
37:08.0832936,119.55
37:09.0400820,119.85
37:09.0821203,120.05
37:10.0385820,120.3
37:10.0806213,120.4
37:11.0371004,120.45
37:11.0793110,120.45
37:12.0357943,120.4
37:12.0778121,120.3
37:13.0341093,120.2
37:13.0761438,120.1
37:14.0320828,120.05
37:14.0722271,119.95
37:15.0247534,119.9
37:15.0648373,119.9
37:16.0169012,119.85
37:16.0585989,119.85
37:17.0105731,119.9
37:17.0505026,119.9
37:18.0061665,119.95
37:18.0460058,119.95
37:19.0021058,120.0
37:19.0437681,120.0
37:19.0996276,120.05
37:20.0416973,120.05
37:20.0975585,120.05
37:21.0396091,120.05
37:21.0958411,120.05
37:22.0377551,120.0
37:22.0936667,120.0
37:23.0336994,120.0
37:23.0900973,120.0
37:24.0301022,120.0
37:24.0857087,120.0
37:25.0257004,120.0
37:25.0816088,120.0
37:26.0236137,120.0
37:26.0791684,120.0
37:27.0212248,120.0
37:27.0771083,120.0
37:28.0191592,120.0
37:28.0750944,120.0
37:29.0171220,120.0
37:29.0737060,120.0
37:30.0101507,119.95
37:30.0666448,120.0
37:31.0067524,120.0
37:31.0632978,120.0
37:32.0048506,120.0
37:32.0606970,120.0
37:33.0027328,120.0
37:33.0586818,120.0
37:34.0007471,120.0
